i,j,gwl,std_gwl,rl_elevati,nztm_x,nztm_y
11,236,362.208,2.341,369.37799,1514327.0,5200460.0
14,241,353.34899,2.94499,361.96899,1514816.0,5200180.0
58,313,274.24398,2.618,293.53399,1522047.0,5195710.0
59,299,292.40301000000005,1.90299,298.83801,1520615.0,5195681.0
63,303,288.86999,0.70499,295.9299900000001,1521015.0,5195281.0
65,303,287.90899,1.59399,290.39898000000005,1521065.0,5195081.0
65,850,0.190995,1.472231525307797,1.115995,1575799.5,5195018.5
66,290,293.88101,0.085,295.1610100000001,1519789.0,5194991.0
68,844,-0.216505,1.364236525307798,0.539995,1575164.0000000002,5194760.499999999
68,846,-0.181,1.383731525307797,1.128995,1575351.0,5194774.5
68,849,0.172,1.338236525307798,1.327,1575673.0,5194785.5
68,850,0.215,0.157,1.115,1575777.0,5194733.0
68,851,0.27549,1.336231525307797,1.037995,1575886.0,5194795.5
69,820,0.122,0.035,3.59699,1572758.0,5194602.999999999
71,849,0.052995,1.355731525307797,0.682995,1575623.0,5194468.5
72,849,0.354995,1.369731525307797,0.864995,1575654.0,5194387.5
73,824,0.076005,1.384731525307797,2.101,1573110.0,5194207.5
74,824,0.169,1.395236525307797,1.953995,1573150.0,5194129.5
74,845,-0.71499,1.498236525307797,0.964995,1575248.0,5194107.5
74,846,-0.55249,1.395731525307797,1.769995,1575399.5,5194112.5
75,310,280.654,1.492736525307797,283.2239900000001,1521724.5,5194095.5
75,824,1.748,0.24099,1.768,1573155.0,5194098.0
76,844,-0.28999,0.398,0.47999,1575147.0,5193928.0
76,847,-0.20999,0.303,1.02999,1575455.0,5193929.0
78,822,1.40299,0.19099,3.12299,1572928.0,5193783.0
80,820,1.169,1.355731525307797,3.173995000000001,1572747.0,5193570.0
81,820,2.091,0.165,4.031000000000001,1572738.0,5193427.0
85,816,1.61,0.18,2.98,1572398.0,5193053.0
86,844,-0.14,1.358731525307797,1.075,1575191.0,5192902.5
87,320,270.25399000000004,0.179995,274.538995,1522722.5,5192845.499999999
87,812,1.48399,0.312,3.414,1571955.9999999995,5192869.0
87,845,0.07999,0.18,1.33,1575207.0,5192883.0
91,377,208.182,0.075,209.10899,1528492.0000000002,5192438.0
94,324,260.76049500000005,0.9365,267.4855,1523181.5,5192118.0
96,845,0.82999,0.245,1.46,1575207.0,5191993.0
97,385,202.13099000000005,0.08699,205.61099,1529285.0,5191871.0
97,386,201.21099,0.35499,204.52099,1529335.0,5191853.0
99,845,0.40499,1.373231525307797,1.639995,1575241.5,5191604.5
101,845,0.32049,1.339236525307797,1.39999,1575274.5,5191436.5
101,849,0.786811818181818,2.307156409650541,1.96272,1575654.4545454544,5191445.090909091
102,806,2.90899,1.423731525307797,5.053990000000002,1571388.5,5191388.5
102,847,0.665794,2.038578440492476,1.56,1575437.0,5191331.4
103,812,3.95,0.40099,4.67999,1571998.0,5191284.0
104,846,0.244002,2.055376440492476,2.125992,1575345.2,5191141.0
104,849,0.75999,0.324,2.08999,1575697.0,5191183.999999999
106,310,256.78201,0.949,260.87701000000004,1521707.0,5190907.0
106,848,0.65699,2.155394208846329,1.759996666666667,1575564.1666666667,5190976.0
107,322,253.843,0.62499,260.37298000000004,1522915.0,5190883.0
107,773,9.6,0.13099,10.22999,1568071.0,5190799.999999999
107,846,0.799995,1.426231525307797,2.165,1575337.0,5190801.5
108,333,249.65499,0.697,254.85499,1524015.0,5190700.0
110,778,9.128,0.134,10.18799,1568563.9999999995,5190593.0
111,759,13.468990000000002,0.21199,15.093990000000002,1566655.0,5190466.0
111,762,12.038,0.254,14.102990000000002,1566974.0,5190464.0
111,773,9.329,0.634,9.659,1568041.0,5190417.0
111,809,3.013326666666666,0.210656666666667,6.53,1571699.0,5190484.0
117,716,30.062,0.305,32.131,1562371.0,5189854.0
117,800,4.295,0.569,5.61,1570769.0,5189884.0
119,308,248.10899000000003,0.16799,252.309,1521503.0,5189622.0
120,319,243.35099,2.92,247.53599,1522659.0,5189572.0
121,305,249.24699,0.43999,250.51699,1521215.0,5189482.999999999
121,848,1.99,0.46,4.34999,1575597.0,5189435.0
123,688,43.150000000000006,0.535,45.50899,1559503.0,5189239.0
123,814,2.71499,0.107,6.000000000000002,1572162.0,5189201.0
124,325,241.64199,1.672,247.50199,1523299.0,5189168.000000001
125,797,7.759995,1.285236525307797,9.010000000000002,1570479.0,5189020.0
125,836,1.58,0.32899,3.76999,1574339.0,5189085.0
126,713,30.618990000000004,0.187,32.328990000000005,1562002.0,5188925.0
126,786,9.670995,1.370231525307798,12.07,1569387.5,5188920.5
126,797,7.521656666666666,0.987824350205198,9.31999,1570462.3333333333,5188951.666666666
128,700,35.421,0.26199,38.076,1560799.0,5188777.0
128,842,1.64999,0.53399,4.57999,1574920.0,5188783.0
129,705,33.191,0.26699,36.020990000000005,1561242.0,5188665.0
130,859,0.95099,0.38899,3.82599,1576621.0,5188574.0
131,725,24.849000000000004,0.312,26.694000000000003,1563262.0,5188475.0
131,787,10.19599,0.131495,11.88,1569454.5,5188402.0
132,782,10.81,0.079,11.19999,1568924.0000000002,5188391.0
132,788,9.90374,1.928602287961696,11.397492500000002,1569542.75,5188331.5
132,851,2.27999,0.573,5.519990000000002,1575897.0,5188385.0
133,448,160.98399,3.354,167.789,1535595.0,5188271.0
133,700,34.96699,0.18999,37.874,1560743.0,5188255.0
133,706,31.86199,0.177,35.562990000000006,1561382.0,5188205.0
133,713,29.21599,0.171,32.62699,1562051.9999999995,5188265.0
133,781,10.581663333333337,0.903157683538532,12.52,1568815.3333333333,5188239.666666666
133,792,9.335,1.424236525307797,10.314995,1569913.0,5188218.5
134,682,43.95,0.39199,45.984,1558903.0,5188185.0
134,775,11.7657475,1.313231525307797,14.1249975,1568224.0,5188174.25
134,782,10.122995,1.300736525307797,11.260000000000002,1568917.5,5188144.000000001
134,787,9.386656666666669,1.738978700410396,10.42666,1569434.3333333333,5188180.666666666
135,774,11.60499,0.035,14.38,1568184.0,5188083.0
135,780,10.61999,0.09799,11.82999,1568705.0,5188016.000000001
135,860,2.7935,0.423495,2.88599,1576767.0,5188065.0
136,768,12.80599,0.035,15.781,1567600.0,5187985.0
136,788,9.14999,0.43599,10.38,1569599.0,5187985.0
136,789,8.414990000000001,0.18199,10.14999,1569690.0,5187903.0
136,839,2.552,0.32199,5.710000000000002,1574677.0,5187905.0
136,863,3.63,0.163,3.967000000000001,1577096.0,5187985.0
137,637,68.31999,1.14999,70.21499,1554462.0,5187826.0
137,670,48.819,0.20399,51.754000000000005,1557734.0,5187890.0
137,701,33.11299,0.186,37.07799,1560863.0,5187825.0
137,709,29.701000000000004,0.15999,33.937990000000006,1561622.0,5187885.0
137,714,27.303495,0.15049,31.276495000000004,1562187.0,5187895.0
137,757,15.590000000000002,0.097,18.65999,1566401.0,5187835.0
137,762,13.989,0.43799,15.25899,1566979.0,5187887.0
137,775,11.760000000000002,0.0,13.56,1568210.0,5187885.0
138,636,65.02300000000001,0.24899,66.97799,1554353.0,5187764.0
138,757,16.055,0.068,18.200000000000003,1566401.0,5187785.0
138,779,11.61499,0.284,11.64,1568607.0,5187798.0
138,796,8.199990000000001,0.0,9.14,1570395.0,5187701.000000001
140,604,84.801,0.23899,88.23699,1551187.0,5187582.0
140,844,2.342,0.296,5.380000000000002,1575197.0,5187585.0
141,509,134.574,0.22699,137.39199000000002,1541617.0,5187412.0
141,634,67.30000000000001,1.75,71.88999000000001,1554137.0,5187471.0
141,710,25.986,0.18,31.176,1561712.0,5187425.0
141,755,15.8,0.133,17.700000000000003,1566261.0,5187475.0
142,681,43.42549,0.40749,48.215495,1558806.0,5187362.0
142,751,17.04299,0.15999,19.12299,1565806.0,5187345.0
142,754,16.1,0.21199,17.770000000000003,1566151.0,5187365.0
143,504,136.091,0.29699,139.77799,1541132.0000000002,5187217.0
143,862,1.452,0.11299,2.332,1576977.0,5187258.0
143,864,1.172,0.314,1.97399,1577107.9999999995,5187285.000000001
144,752,16.609990000000003,0.19299,19.739995,1565946.0,5187125.000000001
144,767,12.65999,0.244,14.1,1567450.0,5187185.0
144,777,9.709995,1.341236525307797,11.609995,1568457.5,5187110.5
144,861,2.16199,0.307,2.89899,1576837.0,5187165.0
145,509,133.55499,0.13799,137.50799,1541640.0,5187099.0
145,650,57.64099,0.577,63.270990000000005,1555776.0,5187000.0
145,675,44.791,0.209,50.89099,1558204.0000000002,5187035.0
145,699,30.98999,0.165,39.056990000000006,1560646.0,5187052.0
145,754,17.020000000000003,0.481,18.84,1566147.0,5187080.0
145,767,12.46,0.078,13.69999,1567430.0,5187085.0
145,780,8.98499,1.295236525307797,10.45999,1568798.0,5187094.5
145,791,7.08,1.366231525307798,8.619995000000001,1569816.0,5187019.5
145,792,6.9577425,1.401984025307797,8.404992500000002,1569987.0,5187096.5
145,833,3.35999,0.34,5.170000000000002,1574098.0,5187035.0
145,849,3.012,0.24999,4.82999,1575627.0,5187075.0
145,857,2.233,0.30399,3.58999,1576447.0,5187045.0
145,861,2.979,0.80599,3.80599,1576847.0,5187015.0
146,497,138.99999000000005,0.287,143.37699,1540410.0,5186985.0
146,513,131.432,0.12999,135.05200000000002,1542067.0,5186945.0
146,664,52.35699,0.397,56.297,1557104.0,5186985.0
146,689,37.00999,0.33,43.419990000000006,1559667.9999999995,5186966.0
146,781,8.764995,1.288736525307797,9.61499,1568863.5,5186950.5
146,786,8.359,0.052,9.340000000000002,1569325.0,5186913.0
146,803,4.017495000000001,1.929604787961696,7.29499,1571040.5,5186940.249999999
147,700,30.080990000000003,0.158,32.370990000000006,1560703.0,5186885.0
147,740,20.00949,1.318231525307797,23.315995,1564731.0,5186865.0
147,749,17.87499,0.007,21.29999,1565651.0,5186835.0
147,779,9.709596,1.556281830369357,10.81199,1568649.6,5186851.2
147,847,2.65,0.35299,3.53999,1575497.0,5186885.0
147,857,2.809,0.493,3.049,1576487.0,5186835.0
148,552,103.10099,0.92199,115.04499,1545907.9999999995,5186785.0
148,727,23.409,0.4,25.554,1563424.0,5186762.999999999
148,738,20.10899,0.128,23.96899,1564581.0,5186745.0
148,759,14.14,0.0,16.13999,1566631.0,5186735.0
148,788,8.0849975,1.939602287961696,8.88499,1569516.5,5186775.0
149,503,135.61399,0.142,140.38099000000005,1541002.0,5186639.999999999
149,788,8.1824975,1.927102287961696,9.1074975,1569533.2500000002,5186620.75
149,827,2.38,0.15199,3.28999,1573448.0,5186634.999999999
149,853,2.268460666666667,2.203208643866849,3.631327333333334,1576052.4666666663,5186650.4
