case,mf6_found,mf6_lst,q_rcha_in,mf6_rcha_in,diff_rcha_in,q_rcha_out,mf6_rcha_out,diff_rcha_out,q_chd_in,mf6_chd_in,diff_chd_in,q_chd_out,mf6_chd_out,diff_chd_out,q_ghb_in,mf6_ghb_in,diff_ghb_in,q_ghb_out,mf6_ghb_out,diff_ghb_out,q_total_in,mf6_total_in,diff_total_in,q_total_out,mf6_total_out,diff_total_out,q_in_minus_out,mf6_in_minus_out,diff_in_minus_out,q_percent_discrepancy,mf6_percent_discrepancy,diff_percent_discrepancy,case_cells_nominal
100x100,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_100x100/model_truth.lst,9701.999754906865,9702.0,-0.000245093135163188,0.0,0.0,0.0,630285.0447795793,630287.3101,-2.265320420730859,1340794.7849741932,1340793.9856,0.7993741931859404,886744.4461527384,886746.7523,-2.3061472616391256,185942.362530333,185942.0761,0.28643033298430964,1526731.4906872245,1526736.0624,-4.5717127753887326,1526737.1475045262,1526736.0617,1.0858045262284577,-5.65681730164215,0.00070545,-5.65752275164215,-0.00018525873267170967,0.0,-0.00018525873267170967,10000.0
100x250,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_100x250/model_truth.lst,24551.99937976431,24552.0,-0.0006202356889843941,0.0,0.0,0.0,1204326.927254621,1204328.8276,-1.9003453790210187,2949536.4274764997,2949525.6759,10.75157649954781,1720637.5259022422,1720644.8665,-7.340597757836804,0.0,0.0,0.0,2949516.4525366277,2949525.6941,-9.241563372313976,2949536.4274764997,2949525.6759,10.75157649954781,-19.97493987204507,0.01816,-19.99309987204507,-0.00033861266000383134,0.0,-0.00033861266000383134,25000.0
100x1000,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_100x1000/model_truth.lst,98801.99750405154,98802.0,-0.0024959484580904245,0.0,0.0,0.0,1730409.1602882096,1730411.836,-2.6757117903325707,4981155.6990562035,4981137.4941,18.204956203699112,3151918.6715215677,3151923.7416,-5.070078432094306,0.0,0.0,0.0,4981129.829313829,4981137.5776,-7.748286171816289,4981155.6990562035,4981137.4941,18.204956203699112,-25.8697423748672,0.083528,-25.953270374867202,-0.0002596767810076996,0.0,-0.0002596767810076996,100000.0
400x400,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_400x400/model_truth.lst,158801.99598832405,158802.0,-0.004011675948277116,0.0,0.0,0.0,618129.2547667334,618129.3027,-0.04793326661456376,1385720.4303213083,1385720.5645,-0.13417869177646935,762584.957131851,762584.6268,0.3303318510297686,153793.77192650636,153795.3526,-1.5806734936486464,1539516.2078869084,1539515.9295,0.2783869083505124,1539514.2022478147,1539515.9171,-1.714852185221389,2.0056390936952084,0.012366,1.9932730936952083,6.513865816633657e-05,0.0,6.513865816633657e-05,160000.0
250x1000,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_250x1000/model_truth.lst,248501.99372231145,248502.0,-0.006277688546106219,0.0,0.0,0.0,1465343.7824090826,1465349.5501,-5.767690917477012,4112751.5783743644,4112747.9916,3.586774364579469,2398889.2382536726,2398896.6023,-7.364046327304095,0.0,0.0,0.0,4112735.014385067,4112748.1524,-13.138014933094382,4112751.5783743644,4112747.9916,3.586774364579469,-16.56398929748684,0.1608,-16.72478929748684,-0.00020137397478791664,0.0,-0.00020137397478791664,250000.0
3000x111,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_3000x111/model_truth.lst,326890.99174203875,326891.0,-0.008257961249910295,0.0,0.0,0.0,31210.64134819401,31210.6477,-0.006351805990561843,220310.52831262175,220310.6269,-0.09858737824833952,48471.48450563921,48471.4619,0.022605639205721673,186262.2756611214,186262.6569,-0.38123887858819216,406573.1175958719,406573.1097,0.007895871938671917,406572.80397374317,406573.2838,-0.47982625680742785,0.31362212874228135,-0.1742,0.48782212874228137,3.856898502754545e-05,-0.0,3.856898502754545e-05,333000.0
3000x223,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_3000x223/model_truth.lst,662778.9832567942,662779.0,-0.016743205836974084,0.0,0.0,0.0,54752.17843827297,54752.1764,0.0020382729708217084,435895.40976726526,435895.5126,-0.10283273475943133,71487.0511463257,71487.0409,0.010246325691696256,353122.4477592886,353122.8831,-0.4353407113812864,789018.2128413927,789018.2174,-0.004558607237413526,789017.8575265538,789018.3957,-0.5381734461989254,0.3553148389328271,-0.1783,0.5336148389328271,2.251626851913336e-05,-0.0,2.251626851913336e-05,669000.0
3000x333,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_3000x333/model_truth.lst,992668.9749230718,992669.0,-0.025076928199268878,0.0,0.0,0.0,73350.08617556465,73350.0927,-0.006524435346364044,645115.1427051721,645115.238,-0.09529482794459909,91286.83997348664,91286.8222,0.01777348664472811,512190.3291030539,512190.858,-0.5288969461107627,1157305.901072123,1157305.9149,-0.013827876886352897,1157305.4718082258,1157306.096,-0.6241917740553617,0.4292638972401619,-0.1811,0.6103638972401619,1.854583029659866e-05,-0.0,1.854583029659866e-05,999000.0
1000x1001,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_1000x1001/model_truth.lst,998000.9747883742,998001.0,-0.0252116258488968,0.0,0.0,0.0,472736.02575259306,472736.1602,-0.13444740691920742,1722772.4935417129,1722778.6638,-6.170258287107572,562001.294586834,562002.446,-1.1514131659641862,309961.7165217545,309961.1088,0.6077217545243911,2032738.2951278011,2032739.6062,-1.3110721989069134,2032734.2100634673,2032739.7726,-5.562536532757804,4.085064333863556,-0.1664,4.251464333863557,0.00010048190778924887,-0.0,0.00010048190778924887,1001000.0
2000x1000,True,/home/patrickdurney/PycharmProjects/QUICK_FLOW/DARCY_WARP_PACKAGE/data/Paper_mf6_truth_2000x1000/model_truth.lst,1995001.9496020104,1995002.0,-0.05039798957295716,0.0,0.0,0.0,209162.012200684,209162.1908,-0.17859931601560675,1593504.870115229,1593504.599,0.2711152289994061,241408.8155719872,241408.9202,-0.1046280128066428,852067.429456194,852068.1778,-0.7483438058989123,2445572.7773746816,2445573.111,-0.3336253184825182,2445572.299571423,2445572.7768,-0.4772285772487521,0.47780325869098306,0.3342,0.14360325869098306,9.768740267857894e-06,0.0,9.768740267857894e-06,2000000.0
